T[GeV]  muB[GeV]  F_over_T[fm^-1/GeV]
0.100000  0.000000  -0.208267
0.101000  0.000000  -0.206882
0.102000  0.000000  -0.205495
0.103000  0.000000  -0.204108
0.104000  0.000000  -0.202722
0.105000  0.000000  -0.201340
0.106000  0.000000  -0.199963
0.107000  0.000000  -0.198591
0.108000  0.000000  -0.197228
0.109000  0.000000  -0.195874
0.110000  0.000000  -0.194529
0.111000  0.000000  -0.193197
0.112000  0.000000  -0.191877
0.113000  0.000000  -0.190570
0.114000  0.000000  -0.189279
0.115000  0.000000  -0.188002
0.116000  0.000000  -0.186742
0.117000  0.000000  -0.185500
0.118000  0.000000  -0.184275
0.119000  0.000000  -0.183069
0.120000  0.000000  -0.181882
0.121000  0.000000  -0.180714
0.122000  0.000000  -0.179567
0.123000  0.000000  -0.178440
0.124000  0.000000  -0.177335
0.125000  0.000000  -0.176250
0.126000  0.000000  -0.175188
0.127000  0.000000  -0.174147
0.128000  0.000000  -0.173127
0.129000  0.000000  -0.172130
0.130000  0.000000  -0.171156
0.131000  0.000000  -0.170203
0.132000  0.000000  -0.169273
0.133000  0.000000  -0.168365
0.134000  0.000000  -0.167480
0.135000  0.000000  -0.166616
0.136000  0.000000  -0.165775
0.137000  0.000000  -0.164956
0.138000  0.000000  -0.164159
0.139000  0.000000  -0.163383
0.140000  0.000000  -0.162629
0.141000  0.000000  -0.161896
0.142000  0.000000  -0.161185
0.143000  0.000000  -0.160494
0.144000  0.000000  -0.159824
0.145000  0.000000  -0.159174
0.146000  0.000000  -0.158544
0.147000  0.000000  -0.157935
0.148000  0.000000  -0.157344
0.149000  0.000000  -0.156773
0.150000  0.000000  -0.156221
0.151000  0.000000  -0.155688
0.152000  0.000000  -0.155173
0.153000  0.000000  -0.154676
0.154000  0.000000  -0.154197
0.155000  0.000000  -0.153735
0.156000  0.000000  -0.153290
0.157000  0.000000  -0.152862
0.158000  0.000000  -0.152450
0.159000  0.000000  -0.152055
0.160000  0.000000  -0.151675
0.161000  0.000000  -0.151311
0.162000  0.000000  -0.150962
0.163000  0.000000  -0.150627
0.164000  0.000000  -0.150308
0.165000  0.000000  -0.150002
0.166000  0.000000  -0.149710
0.167000  0.000000  -0.149432
0.168000  0.000000  -0.149168
0.169000  0.000000  -0.148916
0.170000  0.000000  -0.148677
0.171000  0.000000  -0.148450
0.172000  0.000000  -0.148236
0.173000  0.000000  -0.148034
0.174000  0.000000  -0.147843
0.175000  0.000000  -0.147663
0.176000  0.000000  -0.147495
0.177000  0.000000  -0.147337
0.178000  0.000000  -0.147190
0.179000  0.000000  -0.147053
0.180000  0.000000  -0.146926
0.181000  0.000000  -0.146809
0.182000  0.000000  -0.146702
0.183000  0.000000  -0.146604
0.184000  0.000000  -0.146515
0.185000  0.000000  -0.146435
0.186000  0.000000  -0.146364
0.187000  0.000000  -0.146301
0.188000  0.000000  -0.146247
0.189000  0.000000  -0.146200
0.190000  0.000000  -0.146162
0.191000  0.000000  -0.146131
0.192000  0.000000  -0.146108
0.193000  0.000000  -0.146092
0.194000  0.000000  -0.146083
0.195000  0.000000  -0.146081
0.196000  0.000000  -0.146086
0.197000  0.000000  -0.146097
0.198000  0.000000  -0.146115
0.199000  0.000000  -0.146139
0.200000  0.000000  -0.146170
