T[GeV] muB[GeV] c2_T4[GeV*fm^3]
0.100000 0.000000 -0.088572
0.101000 0.000000 -0.083681
0.102000 0.000000 -0.079109
0.103000 0.000000 -0.074832
0.104000 0.000000 -0.070829
0.105000 0.000000 -0.067080
0.106000 0.000000 -0.063565
0.107000 0.000000 -0.060270
0.108000 0.000000 -0.057177
0.109000 0.000000 -0.054272
0.110000 0.000000 -0.051543
0.111000 0.000000 -0.048978
0.112000 0.000000 -0.046564
0.113000 0.000000 -0.044292
0.114000 0.000000 -0.042152
0.115000 0.000000 -0.040135
0.116000 0.000000 -0.038234
0.117000 0.000000 -0.036440
0.118000 0.000000 -0.034746
0.119000 0.000000 -0.033147
0.120000 0.000000 -0.031635
0.121000 0.000000 -0.030206
0.122000 0.000000 -0.028854
0.123000 0.000000 -0.027575
0.124000 0.000000 -0.026363
0.125000 0.000000 -0.025215
0.126000 0.000000 -0.024127
0.127000 0.000000 -0.023096
0.128000 0.000000 -0.022117
0.129000 0.000000 -0.021188
0.130000 0.000000 -0.020305
0.131000 0.000000 -0.019467
0.132000 0.000000 -0.018671
0.133000 0.000000 -0.017913
0.134000 0.000000 -0.017193
0.135000 0.000000 -0.016507
0.136000 0.000000 -0.015854
0.137000 0.000000 -0.015233
0.138000 0.000000 -0.014640
0.139000 0.000000 -0.014076
0.140000 0.000000 -0.013537
0.141000 0.000000 -0.013024
0.142000 0.000000 -0.012533
0.143000 0.000000 -0.012066
0.144000 0.000000 -0.011619
0.145000 0.000000 -0.011192
0.146000 0.000000 -0.010784
0.147000 0.000000 -0.010394
0.148000 0.000000 -0.010021
0.149000 0.000000 -0.009665
0.150000 0.000000 -0.009323
0.151000 0.000000 -0.008997
0.152000 0.000000 -0.008684
0.153000 0.000000 -0.008384
0.154000 0.000000 -0.008097
0.155000 0.000000 -0.007822
0.156000 0.000000 -0.007559
0.157000 0.000000 -0.007306
0.158000 0.000000 -0.007063
0.159000 0.000000 -0.006831
0.160000 0.000000 -0.006607
0.161000 0.000000 -0.006393
0.162000 0.000000 -0.006187
0.163000 0.000000 -0.005989
0.164000 0.000000 -0.005799
0.165000 0.000000 -0.005617
0.166000 0.000000 -0.005441
0.167000 0.000000 -0.005272
0.168000 0.000000 -0.005110
0.169000 0.000000 -0.004954
0.170000 0.000000 -0.004803
0.171000 0.000000 -0.004659
0.172000 0.000000 -0.004520
0.173000 0.000000 -0.004386
0.174000 0.000000 -0.004256
0.175000 0.000000 -0.004132
0.176000 0.000000 -0.004012
0.177000 0.000000 -0.003897
0.178000 0.000000 -0.003785
0.179000 0.000000 -0.003678
0.180000 0.000000 -0.003574
0.181000 0.000000 -0.003474
0.182000 0.000000 -0.003378
0.183000 0.000000 -0.003285
0.184000 0.000000 -0.003195
0.185000 0.000000 -0.003108
0.186000 0.000000 -0.003025
0.187000 0.000000 -0.002944
0.188000 0.000000 -0.002866
0.189000 0.000000 -0.002790
0.190000 0.000000 -0.002717
0.191000 0.000000 -0.002647
0.192000 0.000000 -0.002578
0.193000 0.000000 -0.002512
0.194000 0.000000 -0.002449
0.195000 0.000000 -0.002387
0.196000 0.000000 -0.002327
0.197000 0.000000 -0.002269
0.198000 0.000000 -0.002214
0.199000 0.000000 -0.002159
0.200000 0.000000 -0.002107
